Level	Date and Time	Source	Event ID	Task Category
Error	23-11-2021 23:32:04	Server	2505	None	The server could not bind to the transport \Device\NetBT_Tcpip_{9F961AE3-9423-4C8B-AB48-B1886999008B} because another computer on the network has the same name.  The server could not start.
Error	23-11-2021 23:30:41	Server	2505	None	The server could not bind to the transport \Device\NetBT_Tcpip_{9F961AE3-9423-4C8B-AB48-B1886999008B} because another computer on the network has the same name.  The server could not start.
Information	23-11-2021 23:16:31	Microsoft-Windows-WindowsUpdateClient	19	Windows Update Agent	Installation Successful: Windows successfully installed the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.353.1477.0)
Information	23-11-2021 23:15:37	Microsoft-Windows-WindowsUpdateClient	43	Windows Update Agent	Installation Started: Windows has started installing the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.353.1477.0)
Information	23-11-2021 23:15:37	Microsoft-Windows-WindowsUpdateClient	44	Windows Update Agent	Windows Update started downloading an update.
Information	23-11-2021 23:05:47	Microsoft-Windows-Kernel-General	1	(5)	"The system time has changed to ‎2021‎-‎11‎-‎23T17:35:47.082347100Z from ‎2021‎-‎11‎-‎23T17:35:47.082370300Z.

Change Reason: An application or system component changed the time.
Process: '\Device\HarddiskVolume3\Windows\System32\svchost.exe' (PID 29444).

RTC time: ‎2021‎-‎11‎-‎23T23:05:47.082347100Z
Current time zone bias: -330
RTC time is in UTC: false
System time was based on RTC time: false"
Information	23-11-2021 23:05:47	Microsoft-Windows-Kernel-General	24	(11)	The time zone information was refreshed with exit reason 0. Current time zone bias is -330.
Information	23-11-2021 23:05:47	Microsoft-Windows-Time-Service	35	None	The time service is now synchronizing the system time with the time source time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->40.81.94.65:123) with reference id 1096700200. Current local stratum number is 4.
Information	23-11-2021 23:05:46	Microsoft-Windows-Time-Service	37	None	The time provider NtpClient is currently receiving valid time data from time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->40.81.94.65:123).
Information	23-11-2021 23:04:28	Microsoft-Windows-Power-Troubleshooter	1	None	"The system has returned from a low power state.

Sleep Time: ‎2021‎-‎11‎-‎23T17:32:34.169171300Z
Wake Time: ‎2021‎-‎11‎-‎23T17:34:12.166301000Z

Wake Source: Unknown"
