atomicnumber,symbol,valence,electronegativity,group,period
1,H,1,2.2,1,1
2,He,0,0,18,1
3,Li,1,0.98,1,2
4,Be,2,1.57,2,2
5,B,3,2.04,13,2
6,C,-4,2.55,14,2
7,N,-3,3.04,15,2
8,O,-2,3.44,16,2
9,F,-1,3.98,17,2
10,Ne,0,0,18,2
11,Na,1,0.93,1,3
12,Mg,2,1.31,2,3
13,Al,3,1.61,13,3
14,Si,4,1.9,14,3
15,P,-3,2.19,15,3
16,S,-2,2.58,16,3
17,Cl,-1,3.16,17,3
18,Ar,0,0,18,3
19,K,1,0.82,1,4
20,Ca,2,1,2,4
21,Sc,3,1.36,3,4
22,Ti,4,1.54,4,4
23,V,3,1.63,5,4
24,Cr,2,1.66,6,4
25,Mn,2,1.55,7,4
26,Fe,2,1.83,8,4
27,Co,2,1.88,9,4
28,Ni,2,1.91,10,4
29,Cu,1,1.9,11,4
30,Zn,2,1.65,12,4
31,Ga,3,1.81,13,4
32,Ge,4,2.01,14,4
33,As,3,2.18,15,4
34,Se,-2,2.55,16,4
35,Br,-1,2.96,17,4
36,Kr,0,3,18,4
37,Rb,1,0.82,1,5
38,Sr,2,0.95,2,5
39,Y,3,1.22,3,5
40,Zr,4,1.33,4,5
41,Nb,5,1.6,5,5
42,Mo,4,2.16,6,5
43,Tc,4,1.9,7,5
44,Ru,3,2.2,8,5
45,Rh,3,2.28,9,5
46,Pd,2,2.2,10,5
47,Ag,1,1.93,11,5
48,Cd,2,1.69,12,5
49,In,3,1.78,13,5
50,Sn,-4,1.96,14,5
51,Sb,3,2.05,15,5
52,Te,4,2.1,16,5
53,I,-1,2.66,17,5
54,Xe,0,2.6,18,6
55,Cs,1,0.79,1,6
56,Ba,2,0.89,2,6
57,La,3,1.1,3,6
58,Ce,3,1.12,0,6
59,Pr,3,1.13,0,6
60,Nd,3,1.14,0,6
61,Pm,3,1.13,0,6
62,Sm,3,1.17,0,6
63,Eu,3,1.2,0,6
64,Gd,3,1.2,0,6
65,Tb,3,1.2,0,6
66,Dy,3,1.22,0,6
67,Ho,3,1.23,0,6
68,Er,3,1.24,0,6
69,Tm,3,1.25,0,6
70,Yb,3,1.1,0,6
71,Lu,3,1.27,0,6
72,Hf,4,1.3,4,6
73,Ta,5,1.5,5,6
74,W,4,2.36,6,6
75,Re,3,1.9,7,6
76,Os,4,2.2,8,6
77,Ir,3,2.2,9,6
78,Pt,2,2.28,10,6
79,Au,3,2.54,11,6
80,Hg,1,2,12,6
81,Tl,1,1.62,13,6
82,Pb,2,1.87,14,6
83,Bi,1,2.02,15,6
84,Po,4,2,16,6
85,At,-1,2.2,17,6
86,Rn,0,2.2,18,6
87,Fr,1,0.7,1,7
88,Ra,2,0.9,2,7
89,Ac,3,1.1,3,7
90,Th,4,1.3,0,7
91,Pa,5,1.5,0,7
92,U,2,1.38,0,7
93,Np,7,1.36,0,7
94,Pu,4,1.28,0,7
95,Am,3,1.13,0,7
96,Cm,3,1.28,0,7
97,Bk,3,1.3,0,7
98,Cf,3,1.3,0,7
99,Es,1,1.3,0,7
100,Fm,2,1.3,0,7
101,Md,2,1.3,0,7
102,No,3,1.3,0,7
103,Lr,4,1.3,0,7
104,Rf,3,0,4,7
