kind,label,x,y
token,0,-16,-27
token,V,34,72
token,_,-51,15
token,a,73,61
token,b,3,65
token,d,33,-82
token,e,-81,62
token,g,-30,90
token,h,80,-6
token,i,48,13
token,k,-51,-70
token,n,-42,40
token,o,21,-7
token,r,51,87
token,s,32,-50
token,t,7,22
token,w,52,-33
token,x,75,-45
token,{,-78,-6
token,},-19,-5
query,q00,-15,-26
query,q01,76,-44
query,q02,33,72
query,q03,20,-7
query,q04,49,12
query,q05,32,-82
query,q06,-79,-6
query,q07,-43,40
query,q08,-81,62
query,q09,74,61
query,q10,52,88
query,q11,-81,62
query,q12,32,-51
query,q13,8,23
query,q14,-50,16
query,q15,-41,41
query,q16,-80,63
query,q17,48,12
query,q18,-31,89
query,q19,79,-5
query,q20,4,64
query,q21,21,-7
query,q22,52,87
query,q23,-52,16
query,q24,-51,-71
query,q25,-42,39
query,q26,21,-8
query,q27,53,-34
query,q28,32,-50
query,q29,-18,-5
