x-axis,SDA1,SCL1
second,Volt,Volt
-140.00000E-06,+3.96197608113E+00,+3.87675362080E+00
-139.95500E-06,+3.96197608113E+00,+3.87675362080E+00
-139.91000E-06,+3.93249436851E+00,+3.93839720174E+00
-139.86500E-06,+3.92070451363E+00,+3.96304871649E+00
-139.82000E-06,+3.99145876968E+00,+3.90757643155E+00
-139.77500E-06,+3.97376349621E+00,+3.95072346926E+00
-139.73000E-06,+3.92070597751E+00,+4.01237113132E+00
-139.68500E-06,+3.96197608113E+00,+4.03701448382E+00
-139.64000E-06,+3.96197608113E+00,+3.98154832057E+00
-139.59500E-06,+3.96197608113E+00,+3.96304259481E+00
-139.55000E-06,+3.96197608113E+00,+3.90757949240E+00
-139.50500E-06,+3.96197608113E+00,+3.95072346926E+00
-139.46000E-06,+3.93248948891E+00,+3.98155036113E+00
-139.41500E-06,+3.89122231305E+00,+3.96303851368E+00
-139.37000E-06,+3.92070988119E+00,+3.90758153296E+00
-139.32500E-06,+3.96197608113E+00,+3.95072346926E+00
-139.28000E-06,+3.96197608113E+00,+3.95072346926E+00
-139.23499E-06,+3.96197608113E+00,+3.91989402668E+00
-139.18999E-06,+3.93248656114E+00,+3.87675362080E+00
-139.14499E-06,+3.92071232100E+00,+3.87675362080E+00
-139.09999E-06,+3.96197608113E+00,+3.90758459380E+00
-139.05499E-06,+3.96197608113E+00,+3.95072346926E+00
-139.00999E-06,+3.96197608113E+00,+3.91989147598E+00
-138.96499E-06,+3.96197608113E+00,+3.93841862764E+00
-138.91999E-06,+3.93248363338E+00,+3.96302729059E+00
-138.87499E-06,+3.92071524876E+00,+3.87675362080E+00
-138.82999E-06,+3.99146950481E+00,+3.90758765464E+00
-138.78499E-06,+4.00323593759E+00,+3.91988892528E+00
-138.73999E-06,+3.96197608113E+00,+3.90758867492E+00
-138.69499E-06,+3.96197608113E+00,+3.91988790500E+00
-138.64999E-06,+3.93248070562E+00,+3.93842576961E+00
-138.60499E-06,+3.92071817652E+00,+3.99385673317E+00
-138.55999E-06,+3.96197608113E+00,+3.95072346926E+00
-138.51499E-06,+3.93247924174E+00,+3.95072346926E+00
-138.46999E-06,+3.89122231305E+00,+3.95072346926E+00
-138.42499E-06,+3.95021794368E+00,+3.98156209436E+00
-138.37999E-06,+4.00323154594E+00,+3.96301504722E+00
-138.33499E-06,+3.96197608113E+00,+3.90759326619E+00
-138.28999E-06,+3.96197608113E+00,+3.98156362478E+00
-138.24499E-06,+3.93247631398E+00,+3.99385265205E+00
-138.19999E-06,+3.89122231305E+00,+3.95072346926E+00
-138.15499E-06,+3.89122231305E+00,+3.95072346926E+00
-138.10999E-06,+3.92072354409E+00,+3.95072346926E+00
-138.06499E-06,+3.96197608113E+00,+3.95072346926E+00
-138.01999E-06,+3.93247387417E+00,+3.95072346926E+00
-137.97499E-06,+3.92072500797E+00,+3.95072346926E+00
-137.92999E-06,+3.93247289825E+00,+3.95072346926E+00
-137.88499E-06,+3.92072598389E+00,+3.91987872247E+00
-137.83999E-06,+3.99148023993E+00,+3.90759887773E+00
-137.79498E-06,+4.00322520246E+00,+3.95072346926E+00
-137.74998E-06,+3.93247094641E+00,+3.98156974647E+00
-137.70498E-06,+3.95023355841E+00,+3.96299974301E+00
-137.65998E-06,+4.03272984922E+00,+3.87675362080E+00
-137.61498E-06,+4.03272984922E+00,+3.90760142843E+00
-137.56998E-06,+3.97371567609E+00,+3.95072346926E+00
-137.52498E-06,+3.89122231305E+00,+3.95072346926E+00
-137.47998E-06,+3.92073037553E+00,+3.98157280731E+00
-137.43498E-06,+3.93246753069E+00,+3.99384346952E+00
-137.38998E-06,+3.92073135145E+00,+3.95072346926E+00
-137.34498E-06,+3.96197608113E+00,+3.95072346926E+00
-137.29998E-06,+3.93246606681E+00,+3.95072346926E+00
-137.25498E-06,+3.89122231305E+00,+3.91987158050E+00
-137.20998E-06,+3.95024429354E+00,+3.87675362080E+00
-137.16498E-06,+4.00321837101E+00,+3.90760652984E+00
-137.11998E-06,+3.93246411497E+00,+3.95072346926E+00
-137.07498E-06,+3.89122231305E+00,+3.95072346926E+00
-137.02998E-06,+3.92073525513E+00,+3.95072346926E+00
-136.98498E-06,+3.93246265108E+00,+3.95072346926E+00
-136.93998E-06,+3.95025014906E+00,+3.95072346926E+00
-136.89498E-06,+3.97370103728E+00,+3.91986749938E+00
-136.84998E-06,+3.89122231305E+00,+3.87675362080E+00
-136.80498E-06,+3.92073769494E+00,+3.87675362080E+00
-136.75998E-06,+3.96197608113E+00,+3.87675362080E+00
-136.71498E-06,+3.96197608113E+00,+3.90761163124E+00
-136.66998E-06,+3.96197608113E+00,+3.95072346926E+00
-136.62498E-06,+3.99149341486E+00,+3.95072346926E+00
-136.57998E-06,+4.00321202753E+00,+3.95072346926E+00
-136.53498E-06,+3.93245777148E+00,+3.95072346926E+00
-136.48998E-06,+3.89122231305E+00,+3.95072346926E+00
-136.44498E-06,+3.95026088419E+00,+3.95072346926E+00
-136.39998E-06,+4.00321007569E+00,+3.95072346926E+00
-136.35497E-06,+3.96197608113E+00,+3.91986137770E+00
-136.30997E-06,+3.96197608113E+00,+3.87675362080E+00
-136.26497E-06,+3.96197608113E+00,+3.90761673265E+00
-136.21997E-06,+3.99149780651E+00,+3.91985984727E+00
-136.17497E-06,+4.03272984922E+00,+3.90761775293E+00
-136.12997E-06,+3.97368444663E+00,+3.95072346926E+00
-136.08497E-06,+3.92074550230E+00,+3.91985831685E+00
-136.03997E-06,+3.99149975835E+00,+3.90761928335E+00
-135.99497E-06,+4.00320568404E+00,+3.95072346926E+00
-135.94997E-06,+3.93245142800E+00,+3.95072346926E+00
-135.90497E-06,+3.92074745414E+00,+3.95072346926E+00
-135.85997E-06,+3.99150171019E+00,+3.91985576615E+00
-135.81497E-06,+3.94415149816E+00,+3.90762183405E+00
-135.76997E-06,+3.87952175492E+00,+3.91985474587E+00
-135.72497E-06,+3.93244898819E+00,+3.90762285433E+00
-135.67997E-06,+3.92074989395E+00,+3.91985372559E+00
-135.63497E-06,+3.96197608113E+00,+3.90762387461E+00
-135.58997E-06,+3.93244752431E+00,+3.95072346926E+00
-135.54497E-06,+3.92075135783E+00,+3.91985219517E+00
-135.49997E-06,+3.96197608113E+00,+3.90762540503E+00
-135.45497E-06,+3.96197608113E+00,+3.95072346926E+00
-135.40997E-06,+3.93244557247E+00,+3.95072346926E+00
-135.36497E-06,+3.92075330967E+00,+3.91985015461E+00
-135.31997E-06,+3.96197608113E+00,+3.93850127039E+00
-135.27497E-06,+3.96197608113E+00,+3.99381898278E+00
-135.22997E-06,+3.96197608113E+00,+3.95072346926E+00
-135.18497E-06,+3.93244313267E+00,+3.91984811405E+00
-135.13997E-06,+3.92075574947E+00,+3.90762948616E+00
-135.09497E-06,+3.96197608113E+00,+3.95072346926E+00
-135.04997E-06,+3.96197608113E+00,+3.91984658362E+00
-135.00497E-06,+3.96197608113E+00,+3.90763101658E+00
-134.95997E-06,+3.99151146940E+00,+3.95072346926E+00
-134.91496E-06,+4.00319397299E+00,+3.91984505320E+00
-134.86996E-06,+3.96197608113E+00,+3.90763254700E+00
-134.82496E-06,+3.99151293328E+00,+3.91984403292E+00
-134.77996E-06,+3.97365516900E+00,+3.90763356728E+00
