position,guess,trace_num,sample,power_mW
0,0,0,0,48.55
0,0,0,1,52.94
0,0,0,2,50.16
0,0,0,3,50.23
0,0,0,4,50.63
0,0,0,5,36.72
0,0,0,6,39.67
0,0,0,7,49.9
0,0,0,8,53.53
0,0,0,9,46.87
0,0,0,10,53.02
0,0,0,11,47.35
0,0,0,12,44.35
0,0,0,13,45.57
0,0,0,14,37.53
0,0,0,15,39.76
0,0,0,16,45.4
0,0,0,17,45.28
0,0,0,18,48.74
0,0,0,19,49.25
0,0,0,20,75.12
0,0,0,21,70.17
0,0,0,22,56.37
0,0,0,23,39.51
0,0,0,24,46.28
0,0,0,25,43.37
0,0,0,26,45.88
0,0,0,27,39.79
0,0,0,28,52.49
0,0,0,29,46.19
0,0,0,30,43.51
0,0,0,31,41.5
0,0,0,32,48.27
0,0,0,33,34.57
0,0,0,34,41.35
0,0,0,35,45.65
0,0,0,36,43.04
0,0,0,37,38.57
0,0,0,38,41.43
0,0,0,39,35.94
0,0,0,40,45.2
0,0,0,41,43.49
0,0,0,42,41.61
0,0,0,43,42.39
0,0,0,44,46.59
0,0,0,45,50.97
0,0,0,46,46.52
0,0,0,47,58.63
0,0,0,48,47.89
0,0,0,49,32.36
0,0,1,0,48.67
0,0,1,1,54.4
0,0,1,2,51.09
0,0,1,3,40.65
0,0,1,4,44.37
0,0,1,5,45.19
0,0,1,6,41.17
0,0,1,7,45.5
0,0,1,8,47.1
0,0,1,9,44.97
0,0,1,10,40.69
0,0,1,11,54.22
0,0,1,12,48.97
0,0,1,13,49.08
0,0,1,14,47.46
0,0,1,15,38.23
0,0,1,16,42.99
0,0,1,17,45.84
0,0,1,18,52.93
0,0,1,19,33.36
0,0,1,20,80.02
0,0,1,21,68.6
0,0,1,22,42.67
0,0,1,23,44.87
0,0,1,24,46.95
0,0,1,25,42.55
0,0,1,26,43.97
0,0,1,27,43.52
0,0,1,28,43.3
0,0,1,29,57.31
0,0,1,30,45.77
0,0,1,31,43.09
0,0,1,32,40.92
0,0,1,33,43.99
0,0,1,34,42.04
0,0,1,35,47.46
0,0,1,36,42.52
0,0,1,37,48.36
0,0,1,38,44.68
0,0,1,39,42.85
0,0,1,40,49.28
0,0,1,41,56.58
0,0,1,42,44.92
0,0,1,43,42.94
0,0,1,44,46.54
0,0,1,45,46.44
0,0,1,46,49.9
0,0,1,47,52.63
0,0,1,48,43.33
0,0,1,49,55.15
0,0,2,0,38.94
0,0,2,1,42.02
0,0,2,2,49.88
0,0,2,3,42.79
0,0,2,4,45.09
0,0,2,5,34.96
0,0,2,6,48.98
0,0,2,7,48.64
0,0,2,8,43.71
0,0,2,9,47.66
0,0,2,10,48.75
0,0,2,11,53.78
0,0,2,12,47.88
0,0,2,13,52.74
0,0,2,14,44.19
0,0,2,15,41.09
0,0,2,16,46.36
0,0,2,17,48.43
0,0,2,18,48.82
0,0,2,19,39.5
0,0,2,20,68.12
0,0,2,21,80.29
0,0,2,22,44.8
0,0,2,23,38.83
0,0,2,24,41.79
0,0,2,25,43.56
0,0,2,26,49.84
0,0,2,27,47.94
0,0,2,28,45.52
0,0,2,29,51.44
0,0,2,30,51.69
0,0,2,31,38.41
0,0,2,32,49.37
0,0,2,33,50.14
0,0,2,34,43.63
0,0,2,35,47.06
0,0,2,36,47.62
0,0,2,37,32.82
0,0,2,38,44.46
0,0,2,39,40.12
0,0,2,40,47.98
0,0,2,41,58.72
0,0,2,42,37.89
0,0,2,43,46.1
0,0,2,44,43.59
0,0,2,45,52.79
0,0,2,46,45.45
0,0,2,47,42.85
0,0,2,48,44.61
0,0,2,49,49.9
0,0,3,0,39.52
0,0,3,1,32.29
0,0,3,2,50.66
0,0,3,3,46.11
0,0,3,4,44.07
