Tid (s),Ackumulerad energi (J)
0.000,-0.00000045
0.001,0.00004720
0.002,0.00009423
0.003,0.00014155
0.004,0.00018876
0.005,0.00023349
0.006,0.00027979
0.007,0.00032725
0.008,0.00037528
0.009,0.00042128
0.010,0.00046863
0.011,0.00051709
0.012,0.00056451
0.013,0.00061275
0.014,0.00066064
0.015,0.00070594
0.016,0.00075303
0.017,0.00079929
0.018,0.00084639
0.019,0.00089387
0.020,0.00094274
0.021,0.00099032
0.022,0.00103762
0.023,0.00108288
0.024,0.00112900
0.025,0.00117853
0.026,0.00122469
0.027,0.00127088
0.028,0.00131633
0.029,0.00136393
0.030,0.00140975
0.031,0.00145547
0.032,0.00150217
0.033,0.00154890
0.034,0.00159536
0.035,0.00164269
0.036,0.00168979
0.037,0.00173688
0.038,0.00178459
0.039,0.00183193
0.040,0.00187799
0.041,0.00192440
0.042,0.00197125
0.043,0.00201760
0.044,0.00206376
0.045,0.00210929
0.046,0.00215719
0.047,0.00220407
0.048,0.00225167
0.049,0.00229621
0.050,0.00234260
0.051,0.00238812
0.052,0.00243546
0.053,0.00248302
0.054,0.00252998
0.055,0.00257536
0.056,0.00262144
0.057,0.00266859
0.058,0.00271701
0.059,0.00276384
0.060,0.00280997
0.061,0.00285781
0.062,0.00290581
0.063,0.00295307
0.064,0.00299954
0.065,0.00304491
0.066,0.00309236
0.067,0.00313864
0.068,0.00318479
0.069,0.00323211
0.070,0.00327840
0.071,0.00332526
0.072,0.00337206
0.073,0.00341899
0.074,0.00346681
0.075,0.00351365
0.076,0.00356014
0.077,0.00360672
0.078,0.00365578
0.079,0.00370277
0.080,0.00375002
0.081,0.00379756
0.082,0.00384419
0.083,0.00389109
0.084,0.00393611
0.085,0.00398170
0.086,0.00402872
0.087,0.00407694
0.088,0.00412285
0.089,0.00416956
0.090,0.00421542
0.091,0.00426255
0.092,0.00430843
0.093,0.00435524
0.094,0.00440234
0.095,0.00445155
0.096,0.00449961
0.097,0.00454855
0.098,0.00459448
0.099,0.00464249
0.100,0.00468854
0.101,0.00473597
0.102,0.00478264
0.103,0.00482883
0.104,0.00487532
0.105,0.00491903
0.106,0.00496585
0.107,0.00501125
0.108,0.00505790
0.109,0.00510222
0.110,0.00514747
0.111,0.00519363
0.112,0.00524127
0.113,0.00528948
0.114,0.00533652
0.115,0.00538321
0.116,0.00542924
0.117,0.00547525
0.118,0.00552289
0.119,0.00556931
0.120,0.00561621
0.121,0.00566294
0.122,0.00571006
0.123,0.00575711
0.124,0.00580498
0.125,0.00585098
0.126,0.00589788
0.127,0.00594467
0.128,0.00599139
0.129,0.00603678
0.130,0.00608569
0.131,0.00613339
0.132,0.00617893
0.133,0.00622569
0.134,0.00627184
0.135,0.00631912
0.136,0.00636731
0.137,0.00641596
0.138,0.00646184
0.139,0.00650729
0.140,0.00655412
0.141,0.00660073
0.142,0.00664880
0.143,0.00669567
0.144,0.00674241
0.145,0.00678893
0.146,0.00683626
0.147,0.00688296
0.148,0.00693118
0.149,0.00697744
0.150,0.00702558
0.151,0.00707234
0.152,0.00712019
0.153,0.00716741
0.154,0.00721399
0.155,0.00725949
0.156,0.00730639
0.157,0.00735409
0.158,0.00740008
0.159,0.00744700
0.160,0.00749378
0.161,0.00754055
0.162,0.00758681
0.163,0.00763487
0.164,0.00768017
0.165,0.00772797
0.166,0.00777445
0.167,0.00782220
0.168,0.00786907
0.169,0.00791446
0.170,0.00796153
0.171,0.00801016
0.172,0.00805635
0.173,0.00810436
0.174,0.00815126
0.175,0.00819862
0.176,0.00824578
0.177,0.00829081
0.178,0.00833836
0.179,0.00838620
0.180,0.00843246
0.181,0.00847951
0.182,0.00852651
0.183,0.00857367
0.184,0.00861913
0.185,0.00866524
0.186,0.00871059
0.187,0.00875497
0.188,0.00880191
0.189,0.00884809
0.190,0.00889450
0.191,0.00894243
0.192,0.00899163
0.193,0.00903847
0.194,0.00908567
0.195,0.00913310
0.196,0.00917941
0.197,0.00922807
0.198,0.00927640
0.199,0.00932382
0.200,0.00937039
0.201,0.00941926
0.202,0.00946843
0.203,0.00951428
0.204,0.00956248
0.205,0.00960905
0.206,0.00965612
0.207,0.00970361
0.208,0.00974970
0.209,0.00979784
0.210,0.00984517
0.211,0.00989115
0.212,0.00993656
0.213,0.00998462
0.214,0.01003084
0.215,0.01007676
0.216,0.01012177
0.217,0.01016839
0.218,0.01021665
0.219,0.01026467
0.220,0.01031116
0.221,0.01035862
0.222,0.01040452
0.223,0.01045025
0.224,0.01049612
0.225,0.01054455
0.226,0.01058999
0.227,0.01063767
0.228,0.01068512
0.229,0.01073131
0.230,0.01077737
0.231,0.01082274
0.232,0.01087015
0.233,0.01091909
0.234,0.01096691
0.235,0.01101393
0.236,0.01106115
0.237,0.01110791
0.238,0.01115480
0.239,0.01120172
0.240,0.01124862
0.241,0.01129462
0.242,0.01134393
0.243,0.01139123
0.244,0.01143842
0.245,0.01148699
0.246,0.01153447
0.247,0.01158008
0.248,0.01162615
0.249,0.01167276
0.250,0.01171965
0.251,0.01176706
0.252,0.01181276
0.253,0.01186028
0.254,0.01190808
0.255,0.01195531
0.256,0.01200368
0.257,0.01205113
0.258,0.01209852
0.259,0.01214553
0.260,0.01219212
0.261,0.01223987
0.262,0.01228534
0.263,0.01233814
0.264,0.01239021
0.265,0.01244094
0.266,0.01249041
0.267,0.01254161
0.268,0.01259262
0.269,0.01264482
0.270,0.01269607
0.271,0.01274849
0.272,0.01280055
0.273,0.01285102
0.274,0.01290318
0.275,0.01295353
0.276,0.01300447
0.277,0.01305566
0.278,0.01310756
0.279,0.01315816
0.280,0.01320972
0.281,0.01326100
0.282,0.01331278
0.283,0.01336469
0.284,0.01341835
0.285,0.01346855
0.286,0.01351967
0.287,0.01357004
0.288,0.01362138
0.289,0.01367161
0.290,0.01372141
0.291,0.01377172
0.292,0.01382231
0.293,0.01387269
0.294,0.01392386
0.295,0.01397491
0.296,0.01402470
0.297,0.01407785
0.298,0.01412992
0.299,0.01417949
0.300,0.01423015
0.301,0.01427942
0.302,0.01433121
0.303,0.01438160
0.304,0.01443174
0.305,0.01448493
0.306,0.01453504
0.307,0.01458567
0.308,0.01463655
0.309,0.01468703
0.310,0.01473873
0.311,0.01478924
0.312,0.01484054
0.313,0.01489171
0.314,0.01494390
0.315,0.01499299
0.316,0.01504274
0.317,0.01509501
0.318,0.01514514
0.319,0.01519853
0.320,0.01525139
0.321,0.01530130
0.322,0.01535307
0.323,0.01540566
0.324,0.01545608
0.325,0.01550702
0.326,0.01555779
0.327,0.01560813
0.328,0.01565798
0.329,0.01570807
0.330,0.01575782
0.331,0.01580903
0.332,0.01585946
0.333,0.01591154
0.334,0.01596138
0.335,0.01601245
0.336,0.01606258
0.337,0.01611547
0.338,0.01616772
0.339,0.01621845
0.340,0.01627010
0.341,0.01632078
0.342,0.01637213
0.343,0.01642438
0.344,0.01647564
0.345,0.01652535
0.346,0.01657529
0.347,0.01662644
0.348,0.01667878
0.349,0.01672801
0.350,0.01677759
0.351,0.01682890
0.352,0.01688033
0.353,0.01692968
0.354,0.01698130
0.355,0.01703092
0.356,0.01707943
0.357,0.01713044
0.358,0.01718054
0.359,0.01723077
0.360,0.01728130
0.361,0.01733235
0.362,0.01738478
0.363,0.01743512
0.364,0.01748713
0.365,0.01753989
0.366,0.01758922
0.367,0.01763974
0.368,0.01769088
0.369,0.01774033
0.370,0.01779160
0.371,0.01784336
0.372,0.01789442
0.373,0.01794593
0.374,0.01799601
0.375,0.01804820
0.376,0.01809849
0.377,0.01815043
0.378,0.01820049
0.379,0.01825112
0.380,0.01830348
0.381,0.01835507
0.382,0.01840674
0.383,0.01845794
0.384,0.01850957
0.385,0.01856011
0.386,0.01861034
0.387,0.01866291
0.388,0.01871224
0.389,0.01876343
0.390,0.01881424
0.391,0.01886563
0.392,0.01891603
0.393,0.01896444
0.394,0.01901613
0.395,0.01906709
0.396,0.01911860
0.397,0.01916813
0.398,0.01921853
0.399,0.01926880
0.400,0.01931914
0.401,0.01937099
0.402,0.01942074
0.403,0.01947171
0.404,0.01952098
0.405,0.01957246
0.406,0.01962224
0.407,0.01967172
0.408,0.01972301
0.409,0.01977395
0.410,0.01982460
0.411,0.01987336
0.412,0.01992389
0.413,0.01997514
0.414,0.02002609
0.415,0.02007663
0.416,0.02012735
0.417,0.02017752
0.418,0.02022752
0.419,0.02027855
0.420,0.02033055
0.421,0.02038262
0.422,0.02043295
0.423,0.02048308
0.424,0.02053493
0.425,0.02058625
0.426,0.02063674
0.427,0.02068827
0.428,0.02074100
0.429,0.02079141
0.430,0.02084240
0.431,0.02089371
0.432,0.02094547
0.433,0.02099563
0.434,0.02104494
0.435,0.02109411
0.436,0.02114424
0.437,0.02119560
0.438,0.02124701
0.439,0.02129679
0.440,0.02134552
0.441,0.02139557
0.442,0.02144605
0.443,0.02149619
0.444,0.02154706
0.445,0.02159715
0.446,0.02164790
0.447,0.02170002
0.448,0.02175216
0.449,0.02180460
0.450,0.02185731
0.451,0.02190595
0.452,0.02195563
0.453,0.02200768
0.454,0.02205868
0.455,0.02210978
0.456,0.02216116
0.457,0.02221184
0.458,0.02226285
0.459,0.02231509
0.460,0.02236662
0.461,0.02241826
0.462,0.02246907
0.463,0.02252035
0.464,0.02257278
0.465,0.02262360
0.466,0.02267537
0.467,0.02272498
0.468,0.02277605
0.469,0.02282811
0.470,0.02287843
0.471,0.02293115
0.472,0.02298293
0.473,0.02303406
0.474,0.02308285
0.475,0.02313320
0.476,0.02318335
0.477,0.02323445
0.478,0.02328494
0.479,0.02333702
0.480,0.02338775
0.481,0.02343902
0.482,0.02349008
0.483,0.02354075
0.484,0.02358975
0.485,0.02364167
0.486,0.02369199
0.487,0.02374229
0.488,0.02379335
0.489,0.02384488
0.490,0.02389753
0.491,0.02394799
0.492,0.02399914
0.493,0.02404971
0.494,0.02409991
0.495,0.02415105
0.496,0.02420428
0.497,0.02425674
0.498,0.02431009
0.499,0.02436089
0.500,0.02441213
0.501,0.02446144
0.502,0.02451211
0.503,0.02456326
0.504,0.02461399
0.505,0.02466444
0.506,0.02471717
0.507,0.02476977
