Time [s],Channel 0,Channel 1
0.000000000,0,1
0.000684917,0,0
0.000686292,0,1
0.001684542,0,0
0.001685875,0,1
0.002684792,0,0
0.002686125,0,1
0.002945375,1,0
0.002946042,1,1
0.002946083,0,1
0.002946708,1,1
0.002946750,1,0
0.002947375,1,1
0.002947417,0,1
0.002948042,1,1
0.002948083,1,0
0.002948708,1,1
0.002948750,0,1
0.002949375,1,1
0.002949417,1,0
0.002951375,1,1
0.002951417,0,1
0.002952042,1,1
0.002952083,1,0
0.002953375,0,1
0.002955375,1,0
0.002956708,0,1
0.002958042,1,0
0.002958708,0,1
0.002959375,1,0
0.002960042,0,1
0.002961375,1,0
0.002962042,0,1
0.002962708,1,0
0.002963375,0,1
0.002964042,1,0
0.002966042,0,1
0.002966708,0,0
0.002968042,0,1
0.002971083,1,1
0.002971125,1,0
0.002971750,1,1
0.002971792,0,1
0.002972417,1,1
0.002972458,1,0
0.002973083,1,1
0.002973125,0,1
0.002973750,1,1
0.002973792,1,0
0.002974417,1,1
0.002974458,0,1
0.002975083,1,1
0.002975125,1,0
0.002976417,1,1
0.002976458,0,1
0.002977750,1,1
0.002977792,1,0
0.002979792,1,1
0.002979833,0,1
0.002981125,1,1
0.002981167,1,0
0.002981833,0,0
0.002983125,0,1
0.003685333,0,0
0.003686667,0,1
0.004684917,0,0
0.004686292,0,1
0.005685208,0,0
0.005686542,0,1
0.006685458,0,0
0.006686792,0,1
0.007685708,0,0
0.007687083,0,1
0.008685333,0,0
0.008686667,0,1
0.009685583,0,0
0.009686917,0,1
0.010685833,0,0
0.010687208,0,1
0.010945750,1,0
0.010946458,0,1
0.010947125,1,0
0.010947792,0,1
0.010948458,1,0
0.010949125,0,1
0.010949792,1,0
0.010951792,0,1
0.010952458,1,0
0.010953792,0,1
0.010955792,1,0
0.010957125,0,1
0.010958458,1,0
0.010959125,0,1
0.010959792,1,0
0.010960458,0,1
0.010961792,1,0
0.010962458,0,1
0.010963125,1,0
0.010963792,0,1
0.010964458,1,0
0.010966458,0,1
0.010967125,0,0
0.010968417,0,1
0.010971458,1,1
0.010971500,1,0
0.010972125,1,1
0.010972167,0,1
0.010972792,1,1
0.010972833,1,0
0.010973458,1,1
0.010973500,0,1
0.010974125,1,1
0.010974167,1,0
0.010974792,1,1
0.010974833,0,1
0.010975458,1,1
0.010975500,1,0
0.010976833,1,1
0.010976875,0,1
0.010978167,1,1
0.010978208,1,0
0.010980167,1,1
0.010980208,0,1
0.010981500,1,1
0.010981542,1,0
0.010982208,0,0
0.010983500,0,1
0.011685708,0,0
0.011687042,0,1
0.012685958,0,0
0.012687333,0,1
0.013686250,0,0
0.013687583,0,1
0.014686500,0,0
0.014687833,0,1
